City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hobart,-42.8794,147.3294,29.107,79,75,8.75,AU,1675316209
1,huarmey,-10.0681,-78.1522,29.483,82,100,2.56,PE,1675316209
2,katsuura,35.1333,140.3,28.157,35,100,3.45,JP,1675316210
3,charlestown,-32.95,151.6667,30.602999999999998,51,14,1.79,AU,1675315977
4,bluff,-46.6,168.3333,29.317000000000004,79,92,1.89,NZ,1675316210
5,port elizabeth,-33.918,25.5701,29.499000000000002,79,0,2.24,ZA,1675316211
6,mar del plata,-38.0023,-57.5575,29.487000000000002,88,0,4.02,AR,1675315958
7,nemuro,43.3236,145.575,26.796,69,55,8.06,JP,1675316211
8,kendari,-3.945,122.4989,30.165,78,100,1.92,ID,1675316211
9,kapaa,22.0752,-159.319,29.814,89,75,3.6,US,1675316212
10,vestmannaeyjar,63.4427,-20.2734,27.629000000000005,92,100,18.34,IS,1675316212
11,busselton,-33.65,115.3333,30.301000000000002,28,98,4.1,AU,1675316212
12,tevriz,57.509,72.4042,26.438000000000002,94,99,1.55,RU,1675316213
13,tiksi,71.6872,128.8694,24.511000000000003,98,99,3.63,RU,1675316213
14,urzhum,57.1141,49.9996,25.808,91,87,2.66,RU,1675316213
15,palu,-0.8917,119.8707,29.999000000000002,90,100,1.26,ID,1675316214
16,hithadhoo,-0.6,73.0833,30.034,75,33,6.09,MV,1675316214
17,leningradskiy,69.3833,178.4167,24.878,99,76,2.4,RU,1675316214
18,qaanaaq,77.484,-69.3632,25.186000000000003,56,0,4.12,GL,1675316215
19,wattegama,6.7989,81.4808,30.200000000000003,67,72,2.5,LK,1675316215
20,provideniya,64.3833,-173.3,26.921,74,75,7.0,RU,1675316216
21,kibre mengist,5.8833,38.9833,29.445999999999998,36,12,1.38,ET,1675316216
22,bambous virieux,-20.3428,57.7575,30.271,74,40,2.57,MU,1675316216
23,grindavik,63.8424,-22.4338,27.541000000000004,93,100,16.98,IS,1675315977
24,san jose,37.3394,-121.895,28.326,65,0,0.89,US,1675316016
25,rikitea,-23.1203,-134.9692,29.944000000000003,72,3,7.03,PF,1675316218
26,vestmanna,62.1564,-7.1664,27.466000000000005,87,75,7.2,FO,1675316218
27,qarchi gak,37.04,66.7889,28.510000000000005,70,100,2.32,AF,1675316218
28,ushuaia,-54.8,-68.3,28.396,82,0,2.57,AR,1675316219
29,hermanus,-34.4187,19.2345,29.137,76,52,2.12,ZA,1675316219
30,georgetown,5.4112,100.3354,30.412000000000003,60,20,5.66,MY,1675316151
31,hay river,60.8156,-115.7999,24.114,75,0,2.06,CA,1675316219
32,portland,45.5234,-122.6762,27.758,75,40,3.09,US,1675316108
33,oistins,13.0667,-59.5333,29.82,69,40,6.17,BB,1675316220
34,victoria,22.2855,114.1577,29.757,71,31,8.05,HK,1675316208
35,puerto ayora,-0.7393,-90.3518,29.846,96,75,0.89,EC,1675316220
36,ayagoz,47.9714,80.4392,26.132,83,37,3.51,KZ,1675316220
37,isangel,-19.55,169.2667,30.198000000000004,75,61,3.43,VU,1675316221
38,berlevag,70.8578,29.0864,27.312,55,100,5.14,NO,1675316221
39,butaritari,3.0707,172.7902,29.986000000000004,79,100,9.82,KI,1675316221
40,jamestown,42.097,-79.2353,26.632,88,0,4.63,US,1675316071
41,yerbogachen,61.2767,108.0108,25.328000000000003,95,77,3.7,RU,1675316222
42,port alfred,-33.5906,26.891,29.492000000000004,78,8,0.89,ZA,1675316222
43,cape town,-33.9258,18.4232,29.447000000000003,68,0,4.63,ZA,1675316222
44,faanui,-16.4833,-151.75,30.093000000000004,74,28,8.65,PF,1675316223
